context,response,dim0,dim1,label
佐藤、鈴木、高橋、渡辺、小林がきます！ [SEP] なるほどね、その5人はもう確定したの？,確定しましたね,1.70403252,0.13102563,32
確定しましたね [SEP] 他には誰か誘ってた？,いえ、このメンバーしか誘ってません,-2.88906092,-3.86239361,11
いえ、このメンバーしか誘ってません [SEP] あ、じゃあ完全に清水君の同期の飲み会なのか,湯川さん以外は同期ですね,-5.52389649,5.67664238,59
湯川さん以外は同期ですね [SEP] そうかぁ、ちょっと参加は申し訳ない気持ちになるなぁ,同期もみんな湯川さんを誘いたいって言ってましたよ,-10.09534286,7.92286158,8
同期もみんな湯川さんを誘いたいって言ってましたよ [SEP] ほんとに？,はい！言ってました！,5.68821917,-0.28786104,58
はい！言ってました！ [SEP] 嬉しいけど、やっぱり同期だけで飲み会した方が楽しいと思うよ,いやあ、湯川さんがいた方が盛り上がりますよ！,6.57896117,0.20031344,15
いやあ、湯川さんがいた方が盛り上がりますよ！ [SEP] そうかなぁ、後輩の前では盛り上がりにくいなぁ,ええー、後輩と飲んでも楽しくないですか？,-10.50909759,8.03274387,7
ええー、後輩と飲んでも楽しくないですか？ [SEP] 楽しいと思うけど、後輩しかいないんだよ？,湯川さん、同期から人気なんで大丈夫ですよ！,4.12619121,-2.04375025,23
湯川さん、同期から人気なんで大丈夫ですよ！ [SEP] それは嬉しいね！でも今回は遠慮しようかな,オンライン宅配サービスも使おうと思ってます,-7.83692672,5.84046477,54
オンライン宅配サービスも使おうと思ってます [SEP] そうなんだぁ、楽しくなりそうだね,オンラインでご飯とか届けてくれるんですけど興味ないですか？,-1.89561268,4.64581109,33
オンラインでご飯とか届けてくれるんですけど興味ないですか？ [SEP] 興味は確かにあるね,ですよね！僕ら年も近いし話も合うと思うんですよ,-1.32185118,4.35073499,53
ですよね！僕ら年も近いし話も合うと思うんですよ [SEP] うん、でも次の機会に参加させてもらおうかな,週末に暇だって言ってたじゃないですかー,-7.20306761,5.79009174,28
湯川先輩、お疲れ様です！！😀 [SEP] お疲れさま！,今週末にオンライン飲み会するのですが、どうですか？,-9.02579992,-2.26938531,26
今週末にオンライン飲み会するのですが、どうですか？ [SEP] いいね！面白そう！,参加していただけますか？,-4.01933587,-0.97637239,48
参加していただけますか？ [SEP] ちなみにどんなメンバーで飲むの？,みんな同期で、今は佐藤、鈴木、高橋、渡辺、小林が参加できるそうです,-0.62773421,-2.54621491,21
みんな同期で、今は佐藤、鈴木、高橋、渡辺、小林が参加できるそうです [SEP] なるほど！せっかくの同期の集まりに俺がいたら邪魔じゃない？,いいえ、実は同期のみんなが湯川さんを誘おうと言い出したんですよ,3.0254339,1.53875764,32
いいえ、実は同期のみんなが湯川さんを誘おうと言い出したんですよ [SEP] それは嬉しいね！でも今週末はちょっと忙しいかも・・・。,週末は暇だとぼやいていたきがするのですが。。。！？,8.27102802,-0.69234596,15
週末は暇だとぼやいていたきがするのですが。。。！？ [SEP] そうなんだけど・・・仕事の進捗が芳しくなくて、週末返上しないといけない可能性がでてきちゃって・・・,そうでしたか。でも今回はとあるサービスを試してみるので楽しくなりそうなんです！,-11.32192556,4.06758765,29
そうでしたか。でも今回はとあるサービスを試してみるので楽しくなりそうなんです！ [SEP] そのサービスも気になるんだけど、最近上司に怒られちゃって仕事もないがしろにできなくて・・・。参加したい気持ちはやまやまなんだけど・・・。,そうですかぁ。。。,10.46479877,-1.96541521,59
湯川先輩、お疲れ様です！！😀 [SEP] お疲れ様！,先輩、たしか今週末ヒマって言ってましたよね？,-8.68107467,-2.42961293,26
先輩、たしか今週末ヒマって言ってましたよね？ [SEP] そうだね、暇なんだよね,でしたらオンライン飲み会やりませんか！？,-7.22516398,4.94309343,29
でしたらオンライン飲み会やりませんか！？ [SEP] おおお、楽しそうだね！,先輩、乗り気ですね！？では参加決定でよろしいですか？,-3.70304273,-0.85685597,48
先輩、乗り気ですね！？では参加決定でよろしいですか？ [SEP] うーん、そうだな。ちなみにメンバーは誰々がくるの？,会社の同期で集まります！湯川先輩も誘いたいとみんなで盛り上がったので声をかけさせていただきました！,-1.5688184,-3.6001188,37
会社の同期で集まります！湯川先輩も誘いたいとみんなで盛り上がったので声をかけさせていただきました！ [SEP] 同期の飲み会か〜。やっぱり邪魔じゃない？,そんなことないです！みんな先輩と飲みたがってます！！,3.9450644,2.13735147,9
そんなことないです！みんな先輩と飲みたがってます！！ [SEP] ちなみにだけど、誰がくることになってる？,私以外には佐藤、鈴木、高橋、渡辺、小林が参加します！,-2.34753685,-2.58388726,43
私以外には佐藤、鈴木、高橋、渡辺、小林が参加します！ [SEP] 本当に清水の同期しかいないんだね。ちょっと邪魔な気がして気が引けるなぁ,そんなことないです！先日の先輩主催の飲み会も大盛況でしたし、同期一同先輩に参加してほしいと心から思ってます！！,1.07637869,1.55811095,32
そんなことないです！先日の先輩主催の飲み会も大盛況でしたし、同期一同先輩に参加してほしいと心から思ってます！！ [SEP] いや、でもやっぱりね、同期なら同期だけで楽しんだ方がいいと思うよ？,同期だけならいつでも集まれますが、先輩もお暇とのことですし、みんな先輩とお話したがっています！！,5.01759341,1.39727159,22
同期だけならいつでも集まれますが、先輩もお暇とのことですし、みんな先輩とお話したがっています！！ [SEP] 今はいつでも集まれるかもしれないけど、歳をとると同期と集まるのが大変になるもんだよ,貴重なアドバイスありがとうございます！是非このようなお話を同期全員にしていただきたいのです！！,5.54628811,0.893513,40
湯川先輩、お疲れ様です！！😀 [SEP] お疲れ様です。どうかしましたか？,あの、今週末って予定空いてましたか？,-6.48088692,-3.80825566,0
あの、今週末って予定空いてましたか？ [SEP] あー、今週末ね。どうかなー、ちょっと調べてみないと分からないんだけど、どうかしたのかい？,実はオンライン飲み会を企画していまして,1.68605469,-5.36451775,44
実はオンライン飲み会を企画していまして [SEP] あー、なるほど。楽しそうですね。何時ごろから始める予定でしたか？,それがまだ決まってないんですよねぇ,0.75576125,-2.1631973,33
それがまだ決まってないんですよねぇ [SEP] あら、そうなんですね。ちなみに清水君の他にどんな人が参加する予定でしたか？,今のところ、佐藤、鈴木、高橋、渡辺、小林を誘ってみてみんな来れるみたいです！,3.94735899,-4.32806241,31
今のところ、佐藤、鈴木、高橋、渡辺、小林を誘ってみてみんな来れるみたいです！ [SEP] あー、なるほど。そうだなー、ちょっと予定が入ってるか調べてみるから待っててもらっても良い？,かしこまりました！,7.37344739,-1.46007561,20
かしこまりました！ [SEP] うーん、その日は予定が入りそうな感じがするなー…,そうですか。。。あ、そういえば、今回新しくサービスを使ってみる予定なんですよ！,-9.72976747,5.07211545,7
そうですか。。。あ、そういえば、今回新しくサービスを使ってみる予定なんですよ！ [SEP] 新しいサービスですか！面白そうですね。どんなサービスなんですか？,お酒とかおつまみを宅配してくれるサービスです,-4.0096559,-5.59868417,36
お酒とかおつまみを宅配してくれるサービスです [SEP] それは面白そうですね！私も当日顔を出せたら出しますね。,面白そうですよね！でも、オンラインサービスの予約期限がそろそろなんですよね。。。,11.25484227,0.83120727,19
面白そうですよね！でも、オンラインサービスの予約期限がそろそろなんですよね。。。 [SEP] 参加するかどうか早めに決めたほうが良い感じですかね…？,そうですね。宅配サービスは使ってみたいですし,5.21621771,-4.14583179,1
そうですね。宅配サービスは使ってみたいですし [SEP] あー、そうだよね。でもなぁ…ちょっとなぁ…,でも、なんでしょう。。。？何か不都合がありましたね。。。,-11.21943184,7.12221753,25
でも、なんでしょう。。。？何か不都合がありましたね。。。 [SEP] いやー、やっぱり予定がね…宅配サービスが使えなくなってしまうのは申し訳ないしなぁ…,宅配サービスは今確定メンバーで確定してしまって、大変申し訳ないのですが、湯川さんは宅配はなしでというのはどうでしょうか？,-11.19573982,5.73434937,25
宅配サービスは今確定メンバーで確定してしまって、大変申し訳ないのですが、湯川さんは宅配はなしでというのはどうでしょうか？ [SEP] せっかくの宅配サービスを使えないのはちょっと残念だなあ…,でも、宅配サービスの感想はあとで伝えるので！,-9.37403222,4.19269256,5
湯川先輩、お疲れ様です！！😀 [SEP] お疲れ！どうかした？,次の週末にオンライン飲み会をやろうと思うんですが、先輩もどうですか！？,-7.13710416,-2.72287316,55
次の週末にオンライン飲み会をやろうと思うんですが、先輩もどうですか！？ [SEP] お、楽しそうだね！,絶対楽しいですよ！先輩週末暇だって言ってた気がするんですけど、どうですか？,-0.26439485,-0.54780251,34
絶対楽しいですよ！先輩週末暇だって言ってた気がするんですけど、どうですか？ [SEP] 確かに暇だって言った気がするね！,ですよね！じゃあ、もう参加ってことで良いですかね？,-10.01028489,3.74717117,24
ですよね！じゃあ、もう参加ってことで良いですかね？ [SEP] いや、一応メンバー確認しておこうかなぁ,メンバーは佐藤、鈴木、高橋、渡辺、小林と自分の6人で予定してました！,-10.30794924,7.79938117,10
メンバーは佐藤、鈴木、高橋、渡辺、小林と自分の6人で予定してました！ [SEP] みんな清水の同期じゃない？,ですね！同期みんな仲良しなんで！,1.52138557,1.04328311,32
ですね！同期みんな仲良しなんで！ [SEP] その中に同期じゃない人が入ったら浮かない？,大丈夫ですよ！先輩なら全然問題ないです！,-2.10738232,-1.14137216,27
大丈夫ですよ！先輩なら全然問題ないです！ [SEP] 気にならない？,そんなに気になりますか？自分は全然気にならないですけどね～。,-5.96614873,-1.37786483,22
そんなに気になりますか？自分は全然気にならないですけどね～。 [SEP] 気になる人はいそうだけどね。一応他も確認した方がいいと思うよ,えー、本当ですかー？絶対大丈夫ですって。先輩も参加しましょう？,6.34706369,-3.31230724,31
えー、本当ですかー？絶対大丈夫ですって。先輩も参加しましょう？ [SEP] うーん、俺は同期の中に混ざるの気になっちゃうんだよね。。。,気にしすぎですよ～。飲んでればそのうち慣れます！,11.84081471,-1.96787813,37
気にしすぎですよ～。飲んでればそのうち慣れます！ [SEP] そうかなあ。でも、同期だけの時間を大切にしたほうがいいと思うけど,前のオンライン飲み会で盛り上がったのは先輩がいてくれたからですよ。先輩がいてくれたほうが絶対面白くなります！！,7.57129396,-0.0892044,12
前のオンライン飲み会で盛り上がったのは先輩がいてくれたからですよ。先輩がいてくれたほうが絶対面白くなります！！ [SEP] 前は部署飲みで人が多かったからね〜,いや、でも先輩が1番の盛り上げ役でしたよ！,4.98629271,3.54843014,9
いや、でも先輩が1番の盛り上げ役でしたよ！ [SEP] それはありがたいね！でも、あれはビジネスだよ（笑）,ビジネスでしたか～笑 それなら今回は素の先輩が見たいです！笑,-11.97038013,6.81437056,54
ビジネスでしたか～笑 それなら今回は素の先輩が見たいです！笑 [SEP] 見せたくないな〜。せっかくプライベートなんだから今回は仲の良い同期だけにしときなよ,えー、同期も先輩とお話したがってましたよ？,-7.586486,7.08642271,43
えー、同期も先輩とお話したがってましたよ？ [SEP] うーん、嬉しことだけど、仕事以外の話は同期だけの方が盛り上がるはずだよ,先輩のプライベートも気になります！,6.53990954,1.00532048,7
湯川先輩、お疲れ様です！！😀 [SEP] お疲れ様です。何かありましたか？,今週時間があると聞いたのですが,-6.48479865,-3.78813618,0
今週時間があると聞いたのですが [SEP] あー、そういえば言ってた気もするな。,であれば、オンライン飲み会を開催しようと考えてまして,4.24223442,-6.67266968,49
であれば、オンライン飲み会を開催しようと考えてまして [SEP] おお、楽しそうですね。ちなみにどんな方が参加されるのですか？,自分と同期５人が参加する予定です,0.73371818,-2.15632632,33
自分と同期５人が参加する予定です [SEP] 同期以外の人は参加しないのかな？,そうですね、具体的には佐藤、鈴木、高橋、渡辺、小林が参加します,-1.58091687,-4.66418403,52
そうですね、具体的には佐藤、鈴木、高橋、渡辺、小林が参加します [SEP] あー、そっか。仲良さそうなメンバーだし、なんかお邪魔するのも悪いなあ…,湯川さんも是非参加してほしいなとみんな言ってますよ,-8.80491681,4.89950193,20
湯川さんも是非参加してほしいなとみんな言ってますよ [SEP] 本当に？嬉しいけど、たまには同期で飲んだらどう？,いやぁ、湯川さんが居た方が絶対盛り上がりますよ,6.16232932,-0.21273523,58
いやぁ、湯川さんが居た方が絶対盛り上がりますよ [SEP] いやいや、私みたいなおじさんが入っても場が覚めるだけだよ（笑）,そんなことないですよー、みんなお酒も入っていることだろうし,-12.07750587,7.0090287,18
そんなことないですよー、みんなお酒も入っていることだろうし [SEP] そういえば前回私が企画したときは、みんなお酒持ち寄りだったけど今回もそんな感じ？,今回は宅配サービス使う予定なんで、前よりもっと楽しくなりそうですよ,6.80776284,-1.97470601,16
今回は宅配サービス使う予定なんで、前よりもっと楽しくなりそうですよ [SEP] あー、それは楽しそうだね。盛り上がることを祈ってるよ。,もしかして参加メンバーに話しづらい人でも居たりしますか？,11.08412321,-0.30472648,33
湯川先輩、お疲れ様です！！😀 [SEP] お疲れ様、どうかした？,先輩週末暇だって言ってませんでしたっけ？,-6.76676909,  -2.58697292,0
先輩週末暇だって言ってませんでしたっけ？ [SEP] そうだね、けっこう暇,それでしたらオンライン飲み会をやるんですけど参加しません？,9.27629819,-4.26180241,24
それでしたらオンライン飲み会をやるんですけど参加しません？ [SEP] おぉ良いねぇ。その飲み会って誰が参加するの？,佐藤、鈴木、高橋、渡辺、小林と自分の同期メンバーです！,1.32104677,-3.15997175,14
佐藤、鈴木、高橋、渡辺、小林と自分の同期メンバーです！ [SEP] あぁー、同期だけなら君たちだけで飲んだ方が楽しいんじゃない？,えー、そうですかね？今回はお酒とかつまみを宅配してくれるサービスも使うのでぜひ参加してほしいと思ったんですけど…,3.933899,1.44662574,32
えー、そうですかね？今回はお酒とかつまみを宅配してくれるサービスも使うのでぜひ参加してほしいと思ったんですけど… [SEP] 私がいると気を使われて変な感じにならないかな？,大丈夫ですよ！楽しくお酒飲みましょう！,2.22597075,-4.5698368,19
大丈夫ですよ！楽しくお酒飲みましょう！ [SEP] 同期の間柄じゃないと話せないこととか有るんじゃないの？笑,先輩にも部下だからこそ話せることってあるんじゃないですか？,-0.31829165,0.46710815,46
先輩にも部下だからこそ話せることってあるんじゃないですか？ [SEP] そうかなぁー同期との仲を深めることが最優先だと思うよ,上下の仲を深めることも大事だと思います！それでもやっぱり気まずいですかね…？,7.23423193,1.32601535,50
上下の仲を深めることも大事だと思います！それでもやっぱり気まずいですかね…？ [SEP] ごめんね、色々計画してもらっているのにこっちの我儘聞いてもらって,もしかして、何か気にあることでもありましたか…？,-0.58806251,2.09493024,47
もしかして、何か気にあることでもありましたか…？ [SEP] もしかしたらなんだけどね、飲み会の前にある予定が延びるかもしれないんだ,途中参加とかでも大丈夫ですよ！,-5.73028319,4.00184921,10
途中参加とかでも大丈夫ですよ！ [SEP] 自分一人の都合で後輩たちに気を遣わせるのは申し訳ないよ,いやいや、そこは先輩ですから！気にしないでください！,3.99330481,-0.15995879,38
いやいや、そこは先輩ですから！気にしないでください！ [SEP] そのまま飲み会に参加するのは疲れちゃうかもなぁ,お酒を飲めば疲れも吹き飛びますよー！,-1.82741923,1.00124986,38
お酒を飲めば疲れも吹き飛びますよー！ [SEP] 吹き飛べば良いけどね,ぜひ参加お願いします！,-3.3164192,3.30723648,12
湯川先輩、お疲れ様です！！😀 [SEP] お疲れ！どうしたんだい？,この間、確か週末は暇だとおっしゃっていましたよね？,-6.5372964,-2.916021,55
この間、確か週末は暇だとおっしゃっていましたよね？ [SEP] そうだね、確かに暇かな,次の週末に、オンラインで飲み会をするんですよ,-6.85374914,4.62913125,29
次の週末に、オンラインで飲み会をするんですよ [SEP] いいねぇ、誰が参加するの？,同期の佐藤、鈴木、高橋、渡辺、小林が参加予定です,1.5734092,-2.89276555,34
同期の佐藤、鈴木、高橋、渡辺、小林が参加予定です [SEP] あぁー、それは同期同士で飲んだ方がいい気がするよ,えぇ、でも普段仲良くしてもらってますし皆が先輩を誘おうって提案してくれたんです,2.79766203,2.88881669,20
えぇ、でも普段仲良くしてもらってますし皆が先輩を誘おうって提案してくれたんです [SEP] なんか僕がその輪に入ったら気まずくならない？,そんなことないですよ！以前先輩が企画してくれた飲み会も盛り上がったじゃないですか,5.97225728,-1.0099106,3
そんなことないですよ！以前先輩が企画してくれた飲み会も盛り上がったじゃないですか [SEP] 今回何か企画していることかあるの？,酒やおつまみを飲み会当日に各自宅に宅配してくれるサービスを使うんです、それの兼ね合いもあって今日急ぎ目にお誘いしました,0.16955774,-3.97971182,42
酒やおつまみを飲み会当日に各自宅に宅配してくれるサービスを使うんです、それの兼ね合いもあって今日急ぎ目にお誘いしました [SEP] 面白そうだけど、今回は参加するか悩ましいなぁ,飲み会好きだから快く受けてくれると思ったんですが珍しいですね…,0.57960241,4.00903914,56
湯川先輩、お疲れ様です！！😀 [SEP] 清水くんか、お疲れ様です,湯川さん、今週末暇だと聞いたのですが,-9.38875611,-0.6207369,57
湯川さん、今週末暇だと聞いたのですが [SEP] 今週末は暇だね、なんかやるの？,同期たちとのオンライン飲み会があります,2.89303276,-6.14446942,44
同期たちとのオンライン飲み会があります [SEP] ほお、それは楽しそうだね,是非先輩にも参加してほしいです,-4.31104223,4.88769392,4
是非先輩にも参加してほしいです [SEP] 誰が参加予定なの？,佐藤、鈴木、高橋、渡辺、小林です,-1.79583874,  -4.95005517,21
佐藤、鈴木、高橋、渡辺、小林です [SEP] なるほど清水くんの同期たちだけかあ,先輩とお話ししたいってみんな言ってましたよ,1.93439961,2.19752522,2
先輩とお話ししたいってみんな言ってましたよ [SEP] お話しならいつでもできるだろ？,飲み会だからこそ話せることかもあるじゃないですか,5.37588142,-1.73905326,35
飲み会だからこそ話せることかもあるじゃないですか [SEP] 確かにそうだが…それはおまえら同期間にもいえることだろ？,いやぁー、先輩居た方が絶対盛り上がりますよ,2.01442819,-3.95575792,50
いやぁー、先輩居た方が絶対盛り上がりますよ [SEP] 今回は同期間で腹をわってお話ししなよ,えぇー、後輩と話すのあんまり気が向かない感じですか？,-7.9147224,7.11007335,22
えぇー、後輩と話すのあんまり気が向かない感じですか？ [SEP] そんなことはないぞ、ただそういう機会もあった方がいいかなって,じゃあ、今度また誘いますね,6.01756443,-1.82941013,49
湯川先輩、お疲れ様です！！😀 [SEP] お疲れさま！！,先輩次の週末暇ですか？,-9.46095923,-1.34097117,26
先輩次の週末暇ですか？ [SEP] ヒマだよー！,本当ですか！実は次の週末に自分の同期たちとオンライン飲み会をする予定なんですけど先輩も来ませんか？,-7.61251502,-1.19474245,30
本当ですか！実は次の週末に自分の同期たちとオンライン飲み会をする予定なんですけど先輩も来ませんか？ [SEP] 同期で仲良さそうでなにより！メンバー誰がいるんだっけ？,佐藤、鈴木、高橋、渡辺、小林と自分です！,-0.52218547,-3.46758685,34
佐藤、鈴木、高橋、渡辺、小林と自分です！ [SEP] せっかくの同期の集まりなのに俺がいたら邪魔にならない？,そんなことないですよー！参加してくださいよ～,3.15084865,1.34964293,32
そんなことないですよー！参加してくださいよ～ [SEP] 同期だけの集まりも大切にした方がいいと思うよ？,いやいや、いつも仲良くしてくださってる先輩にも参加してほしいんですよ～,5.42487903,1.71585418,18
いやいや、いつも仲良くしてくださってる先輩にも参加してほしいんですよ～ [SEP] 前回の飲みは俺もいたし、たまには同期だけの会も作る方が良いと思うけどなー。,そんなこと言わないで下さいよ～。みんな先輩に来てほしいって言ってますよ？,12.64194542,-1.68473331,39
あ！そういえば今回の飲み会、新しいオンラインサービスを使ってみようと思ってるんですよ！ [SEP] へー、そうなんだ！？,どうですか…？気になりませんか…？（笑）,0.86220347,-4.35367086,36
どうですか…？気になりませんか…？（笑） [SEP] 気になるけど年取ると新しいことに挑戦するのが苦手になってきて・・・。飲み会の後にどうだったか教えてくれる？,えー！折角なんで参加して体験してみましょうよ～。絶対盛り上がるサービスだと思うんですけどね…,-1.27364128,-8.17889365,12
えー！折角なんで参加して体験してみましょうよ～。絶対盛り上がるサービスだと思うんですけどね… [SEP] うーん、盛り上がるとは思うんだけどね・・・、最初は思った通りいかずにグダグダにもなりそう・・・。,それなら大丈夫です！グダグダになるようなものではないので！,10.61380892,-2.67425506,18
それなら大丈夫です！グダグダになるようなものではないので！ [SEP] でもなー、実はその次の日が忙しくて・・・。,じゃあ、少し早めの時間から始めて、早めに終わる感じにするのはどうでしょう？,9.22173529,-3.45196603,47
じゃあ、少し早めの時間から始めて、早めに終わる感じにするのはどうでしょう？ [SEP] 早く始めたとしても盛り上がって二日酔いになるくらい飲んでしまいそうなのが怖い・・・。,先輩そんなにお酒弱かったですか？そんな風に見えなかったですけど…,11.02550865,-3.35941425,8
湯川先輩、お疲れ様です！！😀 [SEP] お疲れ様～、どうした？,次の週末にオンライン飲み会しませんか？先輩確かヒマって言ってましたよね？,-6.23719111,-2.72565654,0
次の週末にオンライン飲み会しませんか？先輩確かヒマって言ってましたよね？ [SEP] おー、オンライン飲み会か！確か次の週末は空いてた気がするな。,そうですよね！是非やりましょう！,12.60459684,-2.53933405,14
そうですよね！是非やりましょう！ [SEP] ちなみに、メンバーはどんな感じなの？,社内の同期で集まります！,-2.00451609,-3.04537614,11
社内の同期で集まります！ [SEP] 清水君の同期全員かい？,現状は仲の良いメンバーだけです！以前の湯川さん主催の飲みが本当に楽しかったので声をかけさせていただきました！！,-1.61550198,-1.24220489,45
現状は仲の良いメンバーだけです！以前の湯川さん主催の飲みが本当に楽しかったので声をかけさせていただきました！！ [SEP] それは嬉しいね。清水君の仲の良いメンバーというと誰が参加するのかな？,佐藤、鈴木、高橋、渡辺、小林です！メンバー内で自然と湯川さんも誘おうと声が上がりました！！,5.51499494,2.93674817,9
佐藤、鈴木、高橋、渡辺、小林です！メンバー内で自然と湯川さんも誘おうと声が上がりました！！ [SEP] あー、なるほどね…,あれ？あまり乗り気ではないですか？湯川さんも飲み会お好きですよね？,-10.79377527,4.94648355,20
あれ？あまり乗り気ではないですか？湯川さんも飲み会お好きですよね？ [SEP] いや、ちょっとね。まあ、たまには私抜きで飲み会するってのも良いんじゃないかな？,同期の仲良しメンバーはいつでも集まれるので！湯川さんも空いているのであれば是非参加していただきたいです！！,2.92533018,-3.40022962,10
同期の仲良しメンバーはいつでも集まれるので！湯川さんも空いているのであれば是非参加していただきたいです！！ [SEP] そういえばその日、用事が入るかもしれないのを思い出したよ。,その用事って今お誘いしてる飲み会のことですよね？紛らわしいこと言わないでくださいよー！,8.7367606,0.21994379,40
その用事って今お誘いしてる飲み会のことですよね？紛らわしいこと言わないでくださいよー！ [SEP] そうそう！清水君たちの飲み会のこと！じゃなくてさ（笑）ゴルフに誘われてた気がしててね。,気がしてってなんですか（笑）スケジュール確認してくださいよー！,12.58981193,-2.59915155,14
気がしてってなんですか（笑）スケジュール確認してくださいよー！ [SEP] 誰かに誘われた気がしててね…まだ確定ではなかったと思うんだけど…,そんなあやふやな記憶より可愛い後輩連中からの誘いを優先していただけないでしょうか！,-10.41206389,5.96578669,24
そんなあやふやな記憶より可愛い後輩連中からの誘いを優先していただけないでしょうか！ [SEP] 確かにそうかもね…,そうですよ！今回新しいオンラインサービスも使う予定です！ゴルフより楽しいこと間違いなしです！！,-10.16017758,5.20807568,17
そうですよ！今回新しいオンラインサービスも使う予定です！ゴルフより楽しいこと間違いなしです！！ [SEP] 新しいオンラインサービスか、面白そうだね！どんなサービスを使う予定なのかな？,お酒やおつまみを自宅に届けてくれるサービスです！,-4.68894448,-5.34693043,1
お酒やおつまみを自宅に届けてくれるサービスです！ [SEP] いいね！すごく面白そうだし、わざわざ買い出しに行かなくていいから楽そうだね。,ですよね！離れていてもみんなで同じものを注文できたりもします！楽しい飲み会間違いなしです！,11.62056175,0.92209158,56
ですよね！離れていてもみんなで同じものを注文できたりもします！楽しい飲み会間違いなしです！ [SEP] ぜひ今度サービスの感想を聞かせてくれると嬉しいな。,今度ではなく、その場でサービス使いながら感想を語り合いましょうよ！！,12.29681843,1.11476204,46
ゴルフみたいな大掛かりなイベントなのにまだ確定してないってことはきっと流れたんですよ！ゴルフはほっといて飲みましょう！ [SEP] 確かに言う通りかもしれないね。でも、少し不安だから回答を待ってもらうことはできるかい？,例のサービスの申込期限が迫っているので、なるべく早く回答していただきたいのです！,7.37326268,-4.34538371,16
例のサービスの申込期限が迫っているので、なるべく早く回答していただきたいのです！ [SEP] それならやっぱり今回は同期だけで飲むってのはどうかな？親睦も深まるだろうし。,同期の親睦も大事ですが、上司部下の親睦も大切だと思います！,10.30374387,1.55638515,5
同期の親睦も大事ですが、上司部下の親睦も大切だと思います！ [SEP] うーん…しかし、世代の違う私が1人というのもね…,十分年も近いですし話が合うじゃないですか！今更世代が違うとか言わないでくださいよ😭,-9.48686816,6.20039989,47
湯川先輩、お疲れ様です！！😀 [SEP] お疲れ様！,今少しお時間よろしいでしょうか？,-8.63328069,-2.31142471,26
今少しお時間よろしいでしょうか？ [SEP] いいよ、どうした？,今週末にオンライン飲み会をするんです,-2.78465017,-5.9641405,30
今週末にオンライン飲み会をするんです [SEP] なるほど。それは楽しそうだね。,先輩も一緒にどうでしょうか？,-2.78465017,-5.9641405,4
先輩も一緒にどうでしょうか？ [SEP] ぜひ！何時ごろから始めるつもり？,まだ確定できてないので、みんなの合う時間にしたいと思ってます。,-0.60799433,-5.08243905,30
まだ確定できてないので、みんなの合う時間にしたいと思ってます。 [SEP] そうか。それなら私は夕方ぐらいからを希望しておくよ。ちなみに、メンバーはどんな感じなんだい？,自分の他には、佐藤、鈴木、高橋、渡辺、小林が来ることになっています。,6.40937252,-4.89364085,28
自分の他には、佐藤、鈴木、高橋、渡辺、小林が来ることになっています。 [SEP] あー、そうなのか…,あまり興味がない感じですかね？？,-9.05742808,4.84219901,20
