context,response,dim0,dim1,label
それは嬉しいね！でも今週末はちょっと忙しいかも・・・。,週末は暇だとぼやいていたきがするのですが。。。！？,-9.04331477,3.97372932,45
そうなんだけど・・・仕事の進捗が芳しくなくて、週末返上しないといけない可能性がでてきちゃって・・・,そうでしたか。でも今回はとあるサービスを試してみるので楽しくなりそうなんです！,2.97075961,-15.44698316,34
そのサービスも気になるんだけど、最近上司に怒られちゃって仕事もないがしろにできなくて・・・。参加したい気持ちはやまやまなんだけど・・・。,そうですかぁ。。。,-10.17009223,4.5729015,34
お疲れ様！,先輩、たしか今週末ヒマって言ってましたよね？,9.6900428,-3.63493358,15
そうだね、暇なんだよね,でしたらオンライン飲み会やりませんか！？,4.83264195,-10.37740984,35
おおお、楽しそうだね！,先輩、乗り気ですね！？では参加決定でよろしいですか？,4.19341524,-3.13718068,12
うーん、そうだな。ちなみにメンバーは誰々がくるの？,会社の同期で集まります！湯川先輩も誘いたいとみんなで盛り上がったので声をかけさせていただきました！,1.47578629,5.50295105,47
同期の飲み会か〜。やっぱり邪魔じゃない？,そんなことないです！みんな先輩と飲みたがってます！！,0.75581529,0.38222759,32
ちなみにだけど、誰がくることになってる？,私以外には佐藤、鈴木、高橋、渡辺、小林が参加します！,1.69698305,5.46636674,47
本当に清水の同期しかいないんだね。ちょっと邪魔な気がして気が引けるなぁ,そんなことないです！先日の先輩主催の飲み会も大盛況でしたし、同期一同先輩に参加してほしいと心から思ってます！！,1.24513261,-8.14545031,52
いや、でもやっぱりね、同期なら同期だけで楽しんだ方がいいと思うよ？,同期だけならいつでも集まれますが、先輩もお暇とのことですし、みんな先輩とお話したがっています！！,-4.89588133,8.2916964,58
今はいつでも集まれるかもしれないけど、歳をとると同期と集まるのが大変になるもんだよ,貴重なアドバイスありがとうございます！是非このようなお話を同期全員にしていただきたいのです！！,-3.95027914,10.01054414,39
お疲れ様です。どうかしましたか？,あの、今週末って予定空いてましたか？,8.37615951,3.05741474,3
あー、今週末ね。どうかなー、ちょっと調べてみないと分からないんだけど、どうかしたのかい？,実はオンライン飲み会を企画していまして,-0.67851367,3.34901237,13
あー、なるほど。楽しそうですね。何時ごろから始める予定でしたか？,それがまだ決まってないんですよねぇ,3.93844955,3.86926365,9
あら、そうなんですね。ちなみに清水君の他にどんな人が参加する予定でしたか？,今のところ、佐藤、鈴木、高橋、渡辺、小林を誘ってみてみんな来れるみたいです！,3.2307615,4.57004087,53
あー、なるほど。そうだなー、ちょっと予定が入ってるか調べてみるから待っててもらっても良い？,かしこまりました！,-4.0600078,5.15014688,13
うーん、その日は予定が入りそうな感じがするなー…,そうですか。。。あ、そういえば、今回新しくサービスを使ってみる予定なんですよ！,3.58744537,-14.22616964,38
新しいサービスですか！面白そうですね。どんなサービスなんですか？,お酒とかおつまみを宅配してくれるサービスです,5.9405804,3.06617832,32
それは面白そうですね！私も当日顔を出せたら出しますね。,面白そうですよね！でも、オンラインサービスの予約期限がそろそろなんですよね。。。,-8.24670216,5.02499342,50
参加するかどうか早めに決めたほうが良い感じですかね…？,そうですね。宅配サービスは使ってみたいですし,-1.76524095,2.43855298,9
あー、そうだよね。でもなぁ…ちょっとなぁ…,でも、なんでしょう。。。？何か不都合がありましたね。。。,5.18898341,-16.0470316,6
いやー、やっぱり予定がね…宅配サービスが使えなくなってしまうのは申し訳ないしなぁ…,宅配サービスは今確定メンバーで確定してしまって、大変申し訳ないのですが、湯川さんは宅配はなしでというのはどうでしょうか？,4.30399608,-15.40773815,46
せっかくの宅配サービスを使えないのはちょっと残念だなあ…,でも、宅配サービスの感想はあとで伝えるので！,2.97840131,-13.50222564,20
お疲れ！どうかした？,次の週末にオンライン飲み会をやろうと思うんですが、先輩もどうですか！？,7.68591324,1.14542126,23
お、楽しそうだね！,絶対楽しいですよ！先輩週末暇だって言ってた気がするんですけど、どうですか？,4.17508509,-3.18938518,12
確かに暇だって言った気がするね！,ですよね！じゃあ、もう参加ってことで良いですかね？,-4.859425,4.48273579,50
いや、一応メンバー確認しておこうかなぁ,メンバーは佐藤、鈴木、高橋、渡辺、小林と自分の6人で予定してました！,5.90724327,-13.12489784,56
みんな清水の同期じゃない？,ですね！同期みんな仲良しなんで！,2.66001563,0.03946395,43
その中に同期じゃない人が入ったら浮かない？,大丈夫ですよ！先輩なら全然問題ないです！,1.76723392,0.13095972,8
気にならない？,そんなに気になりますか？自分は全然気にならないですけどね～。,5.694558,-0.0990366,51
気になる人はいそうだけどね。一応他も確認した方がいいと思うよ,えー、本当ですかー？絶対大丈夫ですって。先輩も参加しましょう？,-5.98125841,5.57707562,52
うーん、俺は同期の中に混ざるの気になっちゃうんだよね。。。,気にしすぎですよ～。飲んでればそのうち慣れます！,-9.59998508,8.42335978,1
そうかなあ。でも、同期だけの時間を大切にしたほうがいいと思うけど,前のオンライン飲み会で盛り上がったのは先輩がいてくれたからですよ。先輩がいてくれたほうが絶対面白くなります！！,-4.71813803,11.09290129,5
前は部署飲みで人が多かったからね〜,いや、でも先輩が1番の盛り上げ役でしたよ！,-7.90129689,8.26377336,54
それはありがたいね！でも、あれはビジネスだよ（笑）,ビジネスでしたか～笑 それなら今回は素の先輩が見たいです！笑,6.31616352,-15.4369501,50
見せたくないな〜。せっかくプライベートなんだから今回は仲の良い同期だけにしときなよ,えー、同期も先輩とお話したがってましたよ？,0.91463475,-8.38786462,1
うーん、嬉しことだけど、仕事以外の話は同期だけの方が盛り上がるはずだよ,先輩のプライベートも気になります！,-4.76120771,9.21395655,57
お疲れ様です。何かありましたか？,今週時間があると聞いたのですが,8.34826557,3.01876635,28
あー、そういえば言ってた気もするな。,であれば、オンライン飲み会を開催しようと考えてまして,-10.70468735,8.97506063,10
おお、楽しそうですね。ちなみにどんな方が参加されるのですか？,自分と同期５人が参加する予定です,4.24929943,3.76630608,9
同期以外の人は参加しないのかな？,そうですね、具体的には佐藤、鈴木、高橋、渡辺、小林が参加します,-0.28218507,1.69798417,24
あー、そっか。仲良さそうなメンバーだし、なんかお邪魔するのも悪いなあ…,湯川さんも是非参加してほしいなとみんな言ってますよ,3.7574146,-13.67081188,46
本当に？嬉しいけど、たまには同期で飲んだらどう？,いやぁ、湯川さんが居た方が絶対盛り上がりますよ,-2.28824764,7.83870989,40
いやいや、私みたいなおじさんが入っても場が覚めるだけだよ（笑）,そんなことないですよー、みんなお酒も入っていることだろうし,6.40254427,-15.54760359,27
そういえば前回私が企画したときは、みんなお酒持ち寄りだったけど今回もそんな感じ？,今回は宅配サービス使う予定なんで、前よりもっと楽しくなりそうですよ,-1.7400035,9.68375186,53
あー、それは楽しそうだね。盛り上がることを祈ってるよ。,もしかして参加メンバーに話しづらい人でも居たりしますか？,-10.44178629,6.28288464,6
お疲れ様、どうかした？,先輩週末暇だって言ってませんでしたっけ？,8.07000739,1.60856727,3
そうだね、けっこう暇,それでしたらオンライン飲み会をやるんですけど参加しません？,-11.72228122,7.05754299,55
おぉ良いねぇ。その飲み会って誰が参加するの？,佐藤、鈴木、高橋、渡辺、小林と自分の同期メンバーです！,0.30861954,4.77108334,21
あぁー、同期だけなら君たちだけで飲んだ方が楽しいんじゃない？,えー、そうですかね？今回はお酒とかつまみを宅配してくれるサービスも使うのでぜひ参加してほしいと思ったんですけど…,-3.07352724,8.11629666,25
私がいると気を使われて変な感じにならないかな？,大丈夫ですよ！楽しくお酒飲みましょう！,-2.92283841,5.29513865,48
同期の間柄じゃないと話せないこととか有るんじゃないの？笑,先輩にも部下だからこそ話せることってあるんじゃないですか？,-4.38218845,7.51813883,19
そうかなぁー同期との仲を深めることが最優先だと思うよ,上下の仲を深めることも大事だと思います！それでもやっぱり気まずいですかね…？,-5.45296002,9.27931795,29
ごめんね、色々計画してもらっているのにこっちの我儘聞いてもらって,もしかして、何か気にあることでもありましたか…？,1.35850041,-7.4821395,13
もしかしたらなんだけどね、飲み会の前にある予定が延びるかもしれないんだ,途中参加とかでも大丈夫ですよ！,2.2076187 ,-7.79100773,27
自分一人の都合で後輩たちに気を遣わせるのは申し訳ないよ,いやいや、そこは先輩ですから！気にしないでください！,-6.57251829,6.86406156,33
そのまま飲み会に参加するのは疲れちゃうかもなぁ,お酒を飲めば疲れも吹き飛びますよー！,6.69859815,-12.62958604,20
吹き飛べば良いけどね,ぜひ参加お願いします！,4.95780339,-8.56223853,59
お疲れ！どうしたんだい？,この間、確か週末は暇だとおっしゃっていましたよね？,7.19561132,1.4413671,23
そうだね、確かに暇かな,次の週末に、オンラインで飲み会をするんですよ,4.01349424,-10.83579474,35
いいねぇ、誰が参加するの？,同期の佐藤、鈴木、高橋、渡辺、小林が参加予定です,0.43808096,4.31752719,21
あぁー、それは同期同士で飲んだ方がいい気がするよ,えぇ、でも普段仲良くしてもらってますし皆が先輩を誘おうって提案してくれたんです,-3.36942391,8.70363204,25
なんか僕がその輪に入ったら気まずくならない？,そんなことないですよ！以前先輩が企画してくれた飲み会も盛り上がったじゃないですか,-2.06370981,5.28915823,48
今回何か企画していることかあるの？,酒やおつまみを飲み会当日に各自宅に宅配してくれるサービスを使うんです、それの兼ね合いもあって今日急ぎ目にお誘いしました,2.37767186,3.69347991,28
面白そうだけど、今回は参加するか悩ましいなぁ,飲み会好きだから快く受けてくれると思ったんですが珍しいですね…,1.53890093,-6.24207365,22
清水くんか、お疲れ様です,湯川さん、今週末暇だと聞いたのですが,8.24655891,-5.85398379,15
今週末は暇だね、なんかやるの？,同期たちとのオンライン飲み会があります,0.37384942,3.41456863,56
ほお、それは楽しそうだね,是非先輩にも参加してほしいです,4.12219236,-8.31043368,14
誰が参加予定なの？,佐藤、鈴木、高橋、渡辺、小林です,2.08761641,2.37740025,24
なるほど清水くんの同期たちだけかあ,先輩とお話ししたいってみんな言ってましたよ,-5.13532832,1.76512919,11
お話しならいつでもできるだろ？,飲み会だからこそ話せることかもあるじゃないですか,-1.61453528,5.92167564,0
確かにそうだが…それはおまえら同期間にもいえることだろ？,いやぁー、先輩居た方が絶対盛り上がりますよ,-0.50965596,6.22716766,28
今回は同期間で腹をわってお話ししなよ,えぇー、後輩と話すのあんまり気が向かない感じですか？,-0.64907023,-1.50032888,16
そんなことはないぞ、ただそういう機会もあった方がいいかなって,じゃあ、今度また誘いますね,-4.15370339,11.52726596,5
お疲れさま！！,先輩次の週末暇ですか？,9.81888033,-4.89212132,15
ヒマだよー！,本当ですか！実は次の週末に自分の同期たちとオンライン飲み会をする予定なんですけど先輩も来ませんか？,10.68023032,-4.56522246,12
同期で仲良さそうでなにより！メンバー誰がいるんだっけ？,佐藤、鈴木、高橋、渡辺、小林と自分です！,2.15007247,0.79214281,4
せっかくの同期の集まりなのに俺がいたら邪魔にならない？,そんなことないですよー！参加してくださいよ～,-0.33523913,0.3510872,8
同期だけの集まりも大切にした方がいいと思うよ？,いやいや、いつも仲良くしてくださってる先輩にも参加してほしいんですよ～,-5.43151841,9.8112396,58
前回の飲みは俺もいたし、たまには同期だけの会も作る方が良いと思うけどなー。,そんなこと言わないで下さいよ～。みんな先輩に来てほしいって言ってますよ？,-8.14992603,11.05862694,39
へー、そうなんだ！？,どうですか…？気になりませんか…？（笑）,5.58792282,1.53556106,0
気になるけど年取ると新しいことに挑戦するのが苦手になってきて・・・。飲み会の後にどうだったか教えてくれる？,えー！折角なんで参加して体験してみましょうよ～。絶対盛り上がるサービスだと思うんですけどね…,-10.96185832,2.89092715,34
うーん、盛り上がるとは思うんだけどね・・・、最初は思った通りいかずにグダグダにもなりそう・・・。,それなら大丈夫です！グダグダになるようなものではないので！,-10.21961789,4.23453546,7
でもなー、実はその次の日が忙しくて・・・。,じゃあ、少し早めの時間から始めて、早めに終わる感じにするのはどうでしょう？,-9.0824424,3.64523821,45
早く始めたとしても盛り上がって二日酔いになるくらい飲んでしまいそうなのが怖い・・・。,先輩そんなにお酒弱かったですか？そんな風に見えなかったですけど…,-11.00259803,3.51477282,7
お疲れ様～、どうした？,次の週末にオンライン飲み会しませんか？先輩確かヒマって言ってましたよね？,7.68587268,1.6099874,3
おー、オンライン飲み会か！確か次の週末は空いてた気がするな。,そうですよね！是非やりましょう！,-9.10784456,10.05728452,16
ちなみに、メンバーはどんな感じなの？,社内の同期で集まります！,2.44426885,5.99129807,44
清水君の同期全員かい？,現状は仲の良いメンバーだけです！以前の湯川さん主催の飲みが本当に楽しかったので声をかけさせていただきました！！,3.07154471,0.160768,11
それは嬉しいね。清水君の仲の良いメンバーというと誰が参加するのかな？,佐藤、鈴木、高橋、渡辺、小林です！メンバー内で自然と湯川さんも誘おうと声が上がりました！！,-3.16145881,3.62881975,53
あー、なるほどね…,あれ？あまり乗り気ではないですか？湯川さんも飲み会お好きですよね？,5.1072345,-14.74944675,0
いや、ちょっとね。まあ、たまには私抜きで飲み会するってのも良いんじゃないかな？,同期の仲良しメンバーはいつでも集まれるので！湯川さんも空いているのであれば是非参加していただきたいです！！,-3.65404227,5.74504005,46
そういえばその日、用事が入るかもしれないのを思い出したよ。,その用事って今お誘いしてる飲み会のことですよね？紛らわしいこと言わないでくださいよー！,-9.17281399,6.01460442,27
そうそう！清水君たちの飲み会のこと！じゃなくてさ（笑）ゴルフに誘われてた気がしててね。,気がしてってなんですか（笑）スケジュール確認してくださいよー！,-9.06277842,9.25307919,18
誰かに誘われた気がしててね…まだ確定ではなかったと思うんだけど…,そんなあやふやな記憶より可愛い後輩連中からの誘いを優先していただけないでしょうか！,2.86936967,-14.46747218,52
確かにそうかもね…,そうですよ！今回新しいオンラインサービスも使う予定です！ゴルフより楽しいこと間違いなしです！！,4.28941225,-13.16805992,14
新しいオンラインサービスか、面白そうだね！どんなサービスを使う予定なのかな？,お酒やおつまみを自宅に届けてくれるサービスです！,5.35285046,2.6256207,32
いいね！すごく面白そうだし、わざわざ買い出しに行かなくていいから楽そうだね。,ですよね！離れていてもみんなで同じものを注文できたりもします！楽しい飲み会間違いなしです！,-9.88592933,6.56104433,57
ぜひ今度サービスの感想を聞かせてくれると嬉しいな。,今度ではなく、その場でサービス使いながら感想を語り合いましょうよ！！,-8.49537349,6.96465524,2
確かに言う通りかもしれないね。でも、少し不安だから回答を待ってもらうことはできるかい？,例のサービスの申込期限が迫っているので、なるべく早く回答していただきたいのです！,-0.41501093,7.72490301,18
それならやっぱり今回は同期だけで飲むってのはどうかな？親睦も深まるだろうし。,同期の親睦も大事ですが、上司部下の親睦も大切だと思います！,-7.97252485,11.22116183,36
うーん…しかし、世代の違う私が1人というのもね…,十分年も近いですし話が合うじゃないですか！今更世代が違うとか言わないでくださいよ😭,4.16115282,-14.59028058,38
お疲れ様！,今少しお時間よろしいでしょうか？,9.69013501,-3.63488772,15
いいよ、どうした？,今週末にオンライン飲み会をするんです,6.34498741,0.71605725,0
なるほど。それは楽しそうだね。,先輩も一緒にどうでしょうか？,-10.42721418,7.07103759,14
ぜひ！何時ごろから始めるつもり？,まだ確定できてないので、みんなの合う時間にしたいと思ってます。,1.28106164,3.24745508,41
そうか。それなら私は夕方ぐらいからを希望しておくよ。ちなみに、メンバーはどんな感じなんだい？,自分の他には、佐藤、鈴木、高橋、渡辺、小林が来ることになっています。,-1.6105611,4.06606303,9
あー、そうなのか…,あまり興味がない感じですかね？？,5.00644859,-14.5429824,0
いや、そういうわけではないよ。私と同じくらいの年代の人は参加しないのかな？,そうですね。今のところは自分の同期しか誘っていません。,-3.14473348,4.49167725,37
それなら今回は私が参加しないほうが良いんじゃないかな？,いえ、ぜひ参加していただきたいのです！,-1.56004202,3.05958432,53
いやー、そうは言ってもねえ…,メンバーと話している中で、先輩を誘いたと声が上がったので、これは総意なんです。。。！,4.45424654,-14.00867492,10
たまには上司のいないところで飲むというのも楽しいと思うよ。,プライベートでも仲良くしてもらってるので、楽しくなるはずですよ,-7.02524691,8.62443654,18
それでも、やっぱり上司という立場があるからね…遠慮する人もいると思うよ。,ちなみに、お酒とかの宅配サービスも試しに使ってみるので、気にならないくらい楽しくなると思います！,-6.87910742,7.58657849,18
それは面白そうだね。後で感想を聞かせてほしいな。,当日一緒に感想を共有しませんか？👀,-10.14803364,7.12277679,2
お疲れ様！,今週末、オンライン飲み会を企画しているのですが先輩もどうですか？,9.69013501,-3.63488772,15
すごく楽しそうじゃん,今回はお酒とかおつまみを届けてくれるサービスも使ってみようと思ってるので盛り上がると思います！,3.30684819,-4.18286288,12
へぇ、それ良さそう！準備の手間も省けそうだしね,ですよね！先輩も参加して一緒に飲みませんか？,4.73056528,-11.08888684,17
最近飲んでないし、飲みたいなぁ。。。,それじゃあ、参加ってことで良いですか？,-11.99440337,4.72748892,40
人数とか誰が来るかとかは大体決まってるの？,佐藤、鈴木、高橋、渡辺、小林と自分の6人です！,1.03531543,6.33415746,4
他には誰か来ないの？,今のところは考えてないですね。あとは先輩に今こうやって声をかけているぐらいです。,1.58921679,4.00623761,42
じゃあ、清水の同期しかいないってことなんだな？,そうなりますね。,-3.63950484,7.23460929,37
ちょっとそれは気まずいかなぁ。。。笑,えー、なんでですか？,1.54284808,-5.11263504,31
だってみんな同世代なのに、俺だけ上なんだよ？,まあ、そうですけど…でも、大丈夫ですよ！,-2.30512916,6.72973068,37
何が大丈夫なのよ笑。浮かないか不安だよ,いつも仲良くしてもらってるじゃないですか！心配しすぎですよ！（笑）,3.57483683,-9.62844552,41
そうだけど、なんかお堅い会社の飲み会みたいになりそうでさ。。。,そんなことないですよ！絶対大丈夫です！,-9.04067576,7.94806895,1
絶対的な自信があるんだね笑,あります！先輩が浮くと思ってるならみんな先輩に来てほしいなんて言いませんよ！,-11.25513956,8.13227936,26
ありがたいことだけど、たまには同期の絆を感じた方がいいんだよ？,今回は先輩も交えて楽しく飲みたいね～ってみんなで話してたんですけど…,-5.90881318,8.41107049,5
まーでも今回は遠慮して、同期だけの楽しんだ様子を後から聞こうかなー,そこは後輩たちの要望を受け入れてくださいよ～,0.36018793,-6.90129887,38
受けたいけども、今回はね。みんなのために身を引くよ,いやいや、先輩のお話も色々聞きたいんです！楽しくお話ししましょうよ～,-6.66192059,3.75344796,50
今度ランチとかで楽しく話してあげるからさー,飲み会の席だからこそ色々話せるんじゃないですか～,-5.00754891,5.98223424,49
飲み会だと上司としての体裁を守れなくなっちゃうじゃない,だからいいんじゃないですか～。上司としてじゃなくて湯川さんとして参加してほしいんですよ。,1.48316502,-11.63077922,19
プライベートじゃなくたって、会社の飲み会で一緒に飲めるしさー,親睦をさらに深めたいんです！お願いします！,-7.66687317,8.88299467,49
